tweet,sentiment,emotion,class
Padaiyatchi nu sonna mattum ungalukku jaathi veri nagi reddi settiyar mudaliar nu sonna adhu jaathi veri illaya,Mixed_feelings,sad,non bully
Velraj sir thalaivana masss a kamchirukaru vera level u,Positive,happy,non bully
U1 kaga paakuradha illa sk kaaga verukuradhane therila but mithran + u1 kaaga kandipa paakanum,Mixed_feelings,happy,non bully
Iam vijay fan kerala and iam waiting super star's petta,Positive,happy,non bully
Oh my god .. it's rajini for you,Mixed_feelings,happy,non bully
thala looka apdiyae vechurkaru pa.  Without audio la paata thalaikum ivrukkum vityasam teriyathu,Positive,happy,non bully
Dai yaaru da athu? apadi enna da enga thala mela ungaluku Gaandu?,Positive,sad,non bully
Love u thalaivaaaaaaa avangala aarani Anastasia's Alabama and Anastasia's,Mixed_feelings,happy,non bully
Iam sk fan aanaa trailer semma,Positive,happy,non bully
Wow padam tharu mara iruka poguthu  This pongal petta diwali,Positive,happy,non bully
Sema mass marana mass tha i love rajini,Positive,happy,non bully
800k likes varavareku nanu thungamatte nenaikiravage like podunge,Positive,happy,non bully
Damn..im a proud. Chiyaan vikram fan..,Positive,happy,non bully
Enna panna porom sweet sapda porom....,Positive,happy,non bully
entha kannada naiyai ennum tamilnattil erunthu anupalaiya?,Negative,disgust,bully
Vaa thalaiva via diwali mass ur movie bikil  out,Positive,happy,non bully
Veralevel performer Dhanush sir,Positive,happy,non bully
No means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala,Positive,happy,non bully
Super akshay sir i love u sir,Positive,happy,non bully
Looks like he will SET SCREEN ON FIRE,Positive,happy,non bully
Ninga vena yenkuda classah passah suthla aana yen massu yennanu teriyathulla,Positive,happy,non bully
Romba sandhosama irukku. Thala ipdi suspense movie la nadichadhu.and rlz kaga waiting.,Positive,happy,non bully
Villaina mass aa kattallayea.  So sad.  Villain mass aa iruntha thaa movie mass aa irukkum,Positive,sad,non bully
Trailer vera level athana Da....aamai kunjugala,Positive,happy,non bully
"Yenda, padathoda ottumoththa kadhaiyayum idhudhan nu potu kaatra mariya da trailer pannuveenga.",Negative,sad,non bully
Trailer late ah parthavanga like podunga,Positive,happy,non bully
Move pathutu vanthu trailer pakurvnga yaru,Positive,happy,non bully
Puthupetai dhanush ah yarellam pathinga,Positive,happy,non bully
"Dhanush oda character ,puthu sa erukay , mass ta",Positive,happy,non bully
vera level ippa pesungada mokka nu thalaivaaaaaa,Positive,happy,bully
Thala mass . U1 bgm. Vera level,Positive,happy,non bully
ivara pathta death vadi madiri irukku,Negative,disgust,bully
0:28 90's kids reference Maadila irunthu kudicha Shakthiman kaapathvaaru,Positive,surprise,non bully
Aiyoo thala mass pannita thala,Positive,happy,non bully
ENPT ku kaathu kadanthathellam oru nimishathula poiruchu,Neutral,sad,non bully
When Pandey gets up Vandumurugan : IM SPEAKING.. NO CROSS SPEAKING... SITTT DOWNNN,Negative,anger,bully
Remake of Malayalam Mohanlal movie Devadoodhan,Neutral,happy,non bully
Tharamaana sirappaana sambavam inimeal ta paaka pora....,Positive,happy,non bully
Viswasam trailer paathutu Inka vanthavanga like panuga,Positive,happy,non bully
Maran kattu kattitamnue verithanam thalivaaąa,Positive,happy,non bully
Ella trailer la last la oru Mass dialouge vaichikuringaaa paaaa,Positive,surprise,non bully
Eppa Saamy thala padathula Vera director pera...pakurathu evalo periya santhosama iruku.....,Positive,happy,non bully
En thalaivan vijaysethubathi kaga matume na padam papan matha entha p..... illa,Negative,happy,bully
Kanithan + mugamoodi Neenga nambalainalum ithan nesam,Positive,happy,non bully
Enakku iru mugan trailer gnabagam than varuthu,Positive,happy,non bully
ARE YOU EXPECTING HAPPY DEEPAVALI FORCE DIALOGUE IN 2.0 MOVIE,Positive,surprise,non bully
Sakthimaan fans like Sivakarthikeyen fans comment,Neutral,happy,non bully
rajini and akshay fans hit like,Neutral,happy,non bully
1 hour 1 million likes,Positive,happy,non bully
Raww vana padama iruku all the best,Positive,happy,non bully
Thalaiva.. full Support from kerala Mohanlal Fans,Positive,happy,non bully
En da.. trailer layae ivlo slow motion nah.. padathula paathi duration slow motion layae mudichirpeenga polayae,Negative,disgust,bully
Thalaiva ungala screen pakkum pothey ippadiiii erukinga na Nerla partha yappidiiii erupinga Oru murai tharisanam kedaikumaaaa,Positive,happy,non bully
Rajini ah vida akshay mass ah irukane,Negative,happy,bully
Thala koda compare panna yarukum thakuthi kidaiyathu mind it,Positive,anger,bully
Marana mass marana style marna gethu mass trailer rajinified,Positive,happy,non bully
Paruthiveeran Karthi Back Lokesh Kangaraj Screenplay,Positive,happy,non bully
Diwali annante aniyan ullaltha Step back bigil,Positive,happy,non bully
Dialogue pundaiye puriyala. Otha theatre la nacham sound seri pannungada.,Negative,anger,bully
Poda mokka moonjI unna pathale siriputhan varuthu super herovaam adutha mugamoodiii,Negative,anger,bully
dei kelthu kuthi ajith ivanya yaru nadika sona??????,Negative,anger,bully
Yaaru ivanaa... INDHA Kosu Asoorana dei ennada Unga Rasana....,Negative,disgust,bully
"Namma kitte kaadu iruntha,eduthukuvanga Namma kitte roopa iruntha, pudukiku vaanga Padippu mattum namma kitte irundhu eduthukave mudiyathu Superb lines",Positive,happy,non bully
Ethukkuda ivlo actors hypo....thalaivar padamna avar matumtha irukanum...,Positive,happy,bully
Thlaiavaa... Thalaivaa... Thaliava... Thalaivaa.... Thalaivaa...,Positive,happy,non bully
epdi like pottavan Eallarum seathupogada,Negative,anger,bully
Supper dhanush Anna mass waiting asuran,Positive,happy,non bully
Vera lvl thalaiva u r great,Positive,happy,non bully
Ellam avan sayal movie mathiriya irukku??,Neutral,sad,non bully
Boss you looking so handsome ND young kekaa,Positive,surprise,non bully
Pattaya kelapitey Siva!!! Awesome!!!,Positive,happy,non bully
Dahaaaaaaa chitii come back I am waiting get ready to 2.0,Positive,happy,non bully
"Boni kapoor sir ini entha update illama ethum release panathinga sir, intha chinna pasanga tholla thanga mudiyala",Neutral,disgust,bully
"Looks thrilling, thala get up super as lawyer , dai pandey neeya da",Positive,surprise,non bully
Neenga enna vena kathukonga aana Hollywood padathukku dubbing mattum kathukathinga,Negative,anger,bully
Ena da nadakuthu inga.. Epaaa sathiyamaa edir pakatha trailer.. TOTALLY UNIMAGINABLE TRAILER. THALIVAR,Positive,happy,non bully
1:43 Thala da By thalapathy fan,Positive,happy,non bully
Sun picture best or Vijay TV best sp best na dislike pannuga Vijay TV best na like pannuga,Positive,happy,bully
Hey Makkalay yaaru Darbar Motion Poster announcementku apram vantheenga,Neutral,surprise,non bully
Last dialoge thala fans ungalukkuta Iam Vijay fan trailer super,Positive,happy,non bully
Hollywood range la iruku padam Kandipa blockbuster hit! Semma story....,Positive,happy,non bully
But ore oru varutham ennana Sunday release pannirukkalam yesterday aavathu announcement pannirukkalam,Positive,sad,non bully
Semmma style... rajini sir is back...,Positive,happy,non bully
My Dear Thala ahhhhhhhhhhhhhh semma GETHU,Positive,happy,non bully
Idduke ?500 va tarlam... kolla mass,Positive,happy,non bully
Movie savadi vera level poo..thalaivar thalaivar thaa..mass,Positive,happy,non bully
Super thalaiva .Semma mass. Intha movie blockbuster thaan. FDFS poravanga like pannunga.,Positive,happy,non bully
92k views 132k likes Fraud,Negative,sad,non bully
3 minute trailor vida thil irukkaa....bollywood la panranga....tamila mudiyuma???????,Negative,disgust,bully
Dai ranjit nee idha parthu film eduka kathuko,Positive,disgust,bully
Trailer fast ah podu Ana Background la main bgm illaye Fyt Ku Varadhinga Da Unmaiya tha slura,Positive,disgust,bully
Superb Vivek Mervin pinnitinga ponga... Ungalukagave padam pakanum,Positive,happy,non bully
Viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu.....,Positive,happy,bully
1:36 *thaa enna look-u daa saami That bgm lit,Positive,happy,bully
Guyzz 1m likes vara varaikum vitraadheenga...,Positive,happy,non bully
Padaiyatchi nu sonna mattum ungalukku jaathi veri nagi reddi settiyar mudaliar nu sonna adhu jaathi veri illaya,Neutral,disgust,bully
Velraj sir thalaivana masss a kamchirukaru vera level u,Positive,happy,non bully
U1 kaga paakuradha illa sk kaaga verukuradhane therila but mithran + u1 kaaga kandipa paakanum,Positive,happy,bully
Iam vijay fan kerala and iam waiting super star's petta,Positive,happy,non bully
Oh my god .. it's rajini for you,Positive,happy,non bully
0:52 thala looka apdiyae vechurkaru pa. Without audio la paata thalaikum ivrukkum vityasam teriyathu,Positive,happy,non bully
Dai yaaru da antha 36k? apadi enna da enga thala mela ungaluku Gaandu?!,Positive,anger,bully
Love u thalaivaaaaaaa avangala aarani Anastasia's Alabama and Anastasia's,Neutral,surprise,non bully
Iam sk fan aanaa trailer semma,Positive,happy,non bully
Wow padam tharu mara iruka poguthu This pongal petta diwali,Positive,happy,non bully
Sema mass marana mass tha i love rajini,Positive,happy,non bully
800k likes varavareku nanu thungamatte nenaikiravage like podunge,Positive,happy,non bully
Damn..im a proud. Chiyaan vikram fan..,Positive,happy,non bully
Enna panna porom sweet sapda porom....,Positive,happy,non bully
entha kannada naiyai ennum tamilnattil erunthu anupalaiya?,Negative,anger,bully
Vaa thalaiva via diwali mass ur movie bikil out,Positive,anger,bully
Veralevel performer Dhanush sir,Positive,happy,non bully
No means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala,Positive,happy,non bully
Super akshay sir i love u sir,Positive,happy,non bully
Looks like he will SET SCREEN ON FIRE,Positive,happy,non bully
Ninga vena yenkuda classah passah suthla aana yen massu yennanu teriyathulla,Neutral,happy,bully
Rmba sandhosama irukku. Thala ipdi suspense movie la nadichadhu.and rlz kaga waiting.,Positive,happy,non bully
Villaina mass aa kattallayea. So sad. Villain mass aa iruntha thaa movie mass aa irukkum,Positive,sad,non bully
Trailer vera level athana Da....aamai kunjugala,Positive,happy,bully
"Yenda, padathoda ottumoththa kadhaiyayum idhudhan nu potu kaatra mariya da trailer pannuveenga.",Neutral,anger,bully
